Journal Title,Imprint,Print ISSN,Electronic ISSN,Journal URL,Publishing Model,License Options,Subject Areas
Journal of Near Infrared Spectroscopy,SAGE,0967-0335,1751-6552,https://journals.sagepub.com/loi/JNS,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Journal of Neonatal-Perinatal Medicine,SAGE,1934-5798,1878-4429,https://journals.sagepub.com/loi/NPM,Hybrid,CC BY,Clinical Medicine
Journal of Neonatology,SAGE,0973-2179,0973-2187,https://journals.sagepub.com/loi/NNT,Hybrid,CC BY,Clinical Medicine
Journal of Neutron Research,SAGE,1023-8166,1477-2655,https://journals.sagepub.com/loi/JNE,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Journal of Oncology Pharmacy Practice,SAGE,1078-1552,1477-092X,https://journals.sagepub.com/loi/OPP,Hybrid,CC BY,Pharmacology & Toxicology
Journal of Onco-Nephrology,SAGE,2399-3693,2399-3707,https://journals.sagepub.com/loi/JNP,Hybrid,CC BY,Clinical Medicine
Journal of Operations and Strategic Planning,SAGE,2516-600X,2516-6018,https://journals.sagepub.com/loi/OSP,Hybrid,CC BY,Economics & Development Studies
Journal of Orthodontics,SAGE,1465-3125,1465-3133,https://journals.sagepub.com/loi/JOO,Hybrid,CC BY,Clinical Medicine
Journal of Palliative Care,SAGE,0825-8597,2369-5293,https://journals.sagepub.com/loi/PAL,Hybrid,CC BY,Clinical Medicine
Journal of Pastoral Care & Counseling,SAGE,1542-3050,2167-776X,https://journals.sagepub.com/loi/PCC,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Journal of Patient Safety and Risk Management,SAGE,2516-0435,2516-0443,https://journals.sagepub.com/loi/CRI,Hybrid,CC BY,
Journal of Peacebuilding & Development,SAGE,1542-3166,2165-7440,https://journals.sagepub.com/loi/JPD,Hybrid,CC BY,Sociology
Journal of Pediatric Hematology/Oncology Nursing,SAGE,2752-7530,2752-7549,https://journals.sagepub.com/loi/JPO,Hybrid,CC BY,Nursing
Journal of Pediatric Surgical Nursing,SAGE,2332-0249,2332-0249,https://journals.sagepub.com/loi/PSN,Hybrid,CC BY,Nursing
Journal of Perioperative Practice,SAGE,1750-4589,2515-7949,https://journals.sagepub.com/loi/PPJ,Hybrid,CC BY,Other Health Specialties
Journal of Pharmacy Practice,SAGE,0897-1900,1531-1937,https://journals.sagepub.com/loi/JPP,Hybrid,CC BY,Pharmacology & Toxicology
Journal of Pharmacy Technology,SAGE,8755-1225,1549-4810,https://journals.sagepub.com/loi/PMT,Hybrid,CC BY,Pharmacology & Toxicology
Journal of Planning Education and Research,SAGE,0739-456X,1552-6577,https://journals.sagepub.com/loi/JPE,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Journal of Planning History,SAGE,1538-5132,1552-6585,https://journals.sagepub.com/loi/JPH,Hybrid,CC BY,History
Journal of Planning Literature,SAGE,0885-4122,1552-6593,https://journals.sagepub.com/loi/JPL,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Journal of Plastic Film & Sheeting,SAGE,8756-0879,1530-8014,https://journals.sagepub.com/loi/JPF,Hybrid,CC BY,Materials Science & Engineering
Journal of Positive Behavior Interventions,SAGE,1098-3007,1538-4772,https://journals.sagepub.com/loi/PBI,Hybrid,CC BY,Education
Journal of Power and Energy,SAGE,0957-6509,2041-2967,https://journals.sagepub.com/home/jpea,Hybrid,CCBY,
Journal of Prevention and Health Promotion,SAGE,2632-0770,2632-0789,https://journals.sagepub.com/loi/PRV,Hybrid,CC BY,
Journal of Process Mechanical Engineering,SAGE,0954-4089,2041-3009,https://journals.sagepub.com/home/pie,Hybrid,CCBY,
Journal of Psoriasis and Psoriatic Arthritis®,SAGE,2475-5303,2475-5311,https://journals.sagepub.com/loi/JPS,Hybrid,CC BY,Clinical Medicine
Journal of Psychoeducational Assessment,SAGE,0734-2829,1557-5144,https://journals.sagepub.com/loi/JPA,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Psychologists and Counsellors in Schools,SAGE,2055-6365,2055-6373,https://journals.sagepub.com/loi/SPC,Hybrid,CC BY,
Journal of Psychology and Theology,SAGE,0091-6471,2328-1162,https://journals.sagepub.com/loi/PTJ,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Journal of Psychopharmacology,SAGE,0269-8811,1461-7285,https://journals.sagepub.com/loi/JOP,Hybrid,CC BY,Pharmacology & Toxicology
Journal of Public Affairs Education,SAGE,1523-6803,2328-9643,https://journals.sagepub.com/loi/PAJ,Hybrid,CC BY,Political Science & International Relations
Journal of Public Policy & Marketing,SAGE,0743-9156,1547-7207,https://journals.sagepub.com/loi/PPO,Hybrid,CC BY,Marketing & Hospitality
Journal of Rail and Rapid Transit,SAGE,0954-4097,2041-3017,https://journals.sagepub.com/home/pif,Hybrid,CCBY,
Journal of Reinforced Plastics and Composites,SAGE,0731-6844,1530-7964,https://journals.sagepub.com/loi/JRP,Hybrid,CC BY,Materials Science & Engineering
Journal of Research in Crime and Delinquency,SAGE,0022-4278,1552-731X,https://journals.sagepub.com/loi/JRC,Hybrid,CC BY,Criminology & Criminal Justice
Journal of Research in International Education,SAGE,1475-2409,1741-2943,https://journals.sagepub.com/loi/JRI,Hybrid,CC BY,Education
Journal of Research in Music Education,SAGE,0022-4294,1945-0095,https://journals.sagepub.com/loi/JRM,Hybrid,CC BY,Education
Journal of Research in Nursing,SAGE,1744-9871,1744-988X,https://journals.sagepub.com/loi/JRN,Hybrid,CC BY,Nursing
Journal of Research on Leadership Education,SAGE,1942-7751,1942-7751,https://journals.sagepub.com/loi/JRL,Hybrid,CC BY,Education
Journal of Risk and Reliability,SAGE,1748-006X,1748-0078,https://journals.sagepub.com/home/pio,Hybrid,CCBY,
Journal of Sandwich Structures & Materials,SAGE,1099-6362,1530-7972,https://journals.sagepub.com/loi/JSM,Hybrid,CC BY,Materials Science & Engineering
Journal of School Leadership,SAGE,1052-6846,-,https://journals.sagepub.com/loi/JSL,Hybrid,CC BY,Education
Journal of Service Research,SAGE,1094-6705,1552-7379,https://journals.sagepub.com/loi/JSR,Hybrid,CC BY,Marketing & Hospitality
Journal of Smart Cities and Society,SAGE,2772-3577,2772-3585,https://journals.sagepub.com/loi/SMC,Hybrid,CC BY,Materials Science & Engineering
Journal of Smart Tourism,SAGE,2765-2157,2765-7272,https://journals.sagepub.com/loi/SMT,Hybrid,CC BY,Business & Management
Journal of Social and Personal Relationships,SAGE,0265-4075,1460-3608,https://journals.sagepub.com/loi/SPR,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Social Archaeology,SAGE,1469-6053,1741-2951,https://journals.sagepub.com/loi/JSA,Hybrid,CC BY,Anthropology & Archaeology
Journal of Social Inclusion Studies,SAGE,2394-4811,2516-6123,https://journals.sagepub.com/loi/SIS,Hybrid,CC BY,Sociology
Journal of Social Work,SAGE,1468-0173,1741-296X,https://journals.sagepub.com/loi/JSW,Hybrid,CC BY,Social Work & Social Policy
Journal of Sociology,SAGE,1440-7833,1741-2978,https://journals.sagepub.com/loi/JOS,Hybrid,CC BY,Cultural Studies
Journal of South Asian Development,SAGE,0973-1741,0973-1733,https://journals.sagepub.com/loi/SAD,Hybrid,CC BY,Area & Ethnic Studies
Journal of Special Education Technology,SAGE,0162-6434,2381-3121,https://journals.sagepub.com/loi/JST,Hybrid,CC BY,Education
Journal of Spiritual Formation and Soul Care,SAGE,1939-7909,2328-1030,https://journals.sagepub.com/loi/JSF,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Journal of Sport and Social Issues,SAGE,0193-7235,1552-7638,https://journals.sagepub.com/loi/JSS,Hybrid,CC BY,Sociology
Journal of Sports Economics,SAGE,1527-0025,1552-7794,https://journals.sagepub.com/loi/JSE,Hybrid,CC BY,Economics & Development Studies
Journal of Sports Engineering and Technology,SAGE,1754-3371,1754-338X,https://journals.sagepub.com/home/pip,Hybrid,CCBY,
Journal of Stroke Medicine,SAGE,2516-6085,2516-6093,https://journals.sagepub.com/loi/STM,Hybrid,CC BY,Clinical Medicine
Journal of Studies in International Education,SAGE,1028-3153,1552-7808,https://journals.sagepub.com/loi/JSI,Hybrid,CC BY,Education
Journal of Systems and Control Engineering,SAGE,0959-6518,2041-3041,https://journals.sagepub.com/home/pii,Hybrid,CCBY,
Journal of Teacher Education,SAGE,0022-4871,1552-7816,https://journals.sagepub.com/loi/JTE,Hybrid,CC BY,Education
Journal of Technical Writing and Communication,SAGE,0047-2816,1541-3780,https://journals.sagepub.com/loi/JTW,Hybrid,CC BY,Education
Journal of Telemedicine and Telecare,SAGE,1357-633X,1758-1109,https://journals.sagepub.com/loi/JTT,Hybrid,CC BY,
Journal of the American Psychiatric Nurses Association,SAGE,1078-3903,1532-5725,https://journals.sagepub.com/loi/JAP,Hybrid,CC BY,Nursing
Journal of the American Psychoanalytic Association,SAGE,0003-0651,1941-2460,https://journals.sagepub.com/loi/APA,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of the Anthropological Survey of India,SAGE,2277-436X,2632-4369,https://journals.sagepub.com/loi/ANS,Hybrid,CC BY,
Journal of the ICRU,SAGE,1473-6691,1742-3422,https://journals.sagepub.com/loi/CRU,Hybrid,CC BY,Life & Biomedical Sciences
Journal of the Intensive Care Society,SAGE,1751-1437,1751-1437,https://journals.sagepub.com/loi/INC,Hybrid,CC BY,Clinical Medicine
Journal of the Renin-Angiotensin-Aldosterone System,SAGE,1470-3203,1752-8976,https://journals.sagepub.com/loi/JRA,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
Journal of the Royal Society of Medicine,SAGE,0141-0768,1758-1095,https://journals.sagepub.com/loi/JRS,Hybrid,CC BY,
Journal of Theoretical Politics,SAGE,0951-6298,1460-3667,https://journals.sagepub.com/loi/JTP,Hybrid,CC BY,Political Science & International Relations
Journal of Thermoplastic Composite Materials,SAGE,0892-7057,1530-7980,https://journals.sagepub.com/loi/JTC,Hybrid,CC BY,Materials Science & Engineering
Journal of Transcultural Nursing,SAGE,1043-6596,1552-7832,https://journals.sagepub.com/loi/TCN,Hybrid,CC BY,Nursing
Journal of Transformative Education,SAGE,1541-3446,1552-7840,https://journals.sagepub.com/loi/JTD,Hybrid,CC BY,Education
Journal of Travel Research,SAGE,0047-2875,1552-6763,https://journals.sagepub.com/loi/JTR,Hybrid,CC BY,Marketing & Hospitality
Journal of Tropical Futures,SAGE,2753-8931,2753-8931,https://journals.sagepub.com/loi/JTF,Hybrid,CC BY,Business & Management
Journal of Urban History,SAGE,0096-1442,1552-6771,https://journals.sagepub.com/loi/JUH,Hybrid,CC BY,History
Journal of Vacation Marketing,SAGE,1356-7667,1479-1870,https://journals.sagepub.com/loi/JVM,Hybrid,CC BY,Marketing & Hospitality
Journal of Vestibular Research,SAGE,0957-4271,1878-6464,https://journals.sagepub.com/loi/VER,Hybrid,CC BY,Clinical Medicine
Journal of Veterinary Dentistry,SAGE,0898-7564,2470-4083,https://journals.sagepub.com/loi/JOV,Hybrid,CC BY,Other Health Specialties
Journal of Veterinary Diagnostic Investigation,SAGE,1040-6387,1943-4936,https://journals.sagepub.com/loi/VDI,Hybrid,CC BY,Other Health Specialties
Journal of Vibration and Control,SAGE,1077-5463,1741-2986,https://journals.sagepub.com/loi/JVC,Hybrid,CC BY,Materials Science & Engineering
Journal of Victimology and Victim Justice,SAGE,2516-6069,2516-6077,https://journals.sagepub.com/loi/VVJ,Hybrid,CC BY,Criminology & Criminal Justice
Journal of Visual Culture,SAGE,1470-4129,1741-2994,https://journals.sagepub.com/loi/VCU,Hybrid,CC BY,Anthropology & Archaeology
Journal of Visual Impairment & Blindness,SAGE,0145-482X,1559-1476,https://journals.sagepub.com/loi/JVB,Hybrid,CC BY,Education
Journal of VitreoRetinal Diseases,SAGE,2474-1264,2474-1272,https://journals.sagepub.com/loi/VRD,Hybrid,CC BY,Clinical Medicine
Journal of Vocational Rehabilitation,SAGE,1052-2263,1878-6316,https://journals.sagepub.com/loi/JVR,Hybrid,CC BY,Other Health Specialties
Journal of White Collar and Corporate Crime,SAGE,2631-309X,2631-3103,https://journals.sagepub.com/loi/WCC,Hybrid,CC BY,
Journal of World Affairs,SAGE,2976-9442,2976-9450,https://journals.sagepub.com/loi/WAJ,Hybrid,CC BY,Political Science & International Relations
Journal of X-Ray Science and Technology,SAGE,0895-3996,1095-9114,https://journals.sagepub.com/loi/XST,Hybrid,CC BY,Other Health Specialties
Journal on Migration and Human Security,SAGE,2331-5024,2330-2488,https://journals.sagepub.com/loi/MHS,Hybrid,CC BY,Area & Ethnic Studies
Journalism,SAGE,1464-8849,1741-3001,https://journals.sagepub.com/loi/JOU,Hybrid,CC BY,Communication & Media Studies
Journalism & Communication Monographs,SAGE,1522-6379,2161-4342,https://journals.sagepub.com/loi/JMO,Hybrid,CC BY,Communication & Media Studies
Journalism & Mass Communication Educator,SAGE,1077-6958,2161-4326,https://journals.sagepub.com/loi/JMC,Hybrid,CC BY,Communication & Media Studies
Journalism & Mass Communication Quarterly,SAGE,1077-6990,2161-430X,https://journals.sagepub.com/loi/JMQ,Hybrid,CC BY,Communication & Media Studies
JRSM Cardiovascular Disease,SAGE,2048-0040,2048-0040,https://journals.sagepub.com/loi/CVD,Hybrid,CC BY,
Labor Studies Journal,SAGE,0160-449X,1538-9758,https://journals.sagepub.com/loi/LSJ,Hybrid,CC BY,Business & Management
Laboratory Animals,SAGE,0023-6772,1758-1117,https://journals.sagepub.com/loi/LAN,Hybrid,CC BY,
Language and Literature,SAGE,0963-9470,1461-7293,https://journals.sagepub.com/loi/LAL,Hybrid,CC BY,Language & Linguistics
Language and Speech,SAGE,0023-8309,1756-6053,https://journals.sagepub.com/loi/LAS,Hybrid,CC BY,Language & Linguistics
Language Teaching Research,SAGE,1362-1688,1477-0954,https://journals.sagepub.com/loi/LTR,Hybrid,CC BY,Language & Linguistics
Language Testing,SAGE,0265-5322,1477-0946,https://journals.sagepub.com/loi/LTJ,Hybrid,CC BY,Language & Linguistics
Latin American Perspectives,SAGE,0094-582X,1552-678X,https://journals.sagepub.com/loi/LAP,Hybrid,CC BY,Political Science & International Relations
"Law, Culture and the Humanities",SAGE,1743-8721,1743-9752,https://journals.sagepub.com/loi/LCH,Hybrid,CC BY,Arts & Humanities
Leadership,SAGE,1742-7150,1742-7169,https://journals.sagepub.com/loi/LEA,Hybrid,CC BY,Business & Management
Learning Disabilities Research & Practice,SAGE,0938-8982,1540-5826,https://journals.sagepub.com/loi/LDR,Hybrid,CC BY,Education
Learning Disability Quarterly,SAGE,0731-9487,2168-376X,https://journals.sagepub.com/loi/LDQ,Hybrid,CC BY,Education
Lighting Design + Application,SAGE,0360-6325,0360-6325,https://journals.sagepub.com/loi/LDA,Hybrid,CC BY,
Lighting Research & Technology,SAGE,1477-1535,1477-0938,https://journals.sagepub.com/loi/LRT,Hybrid,CC BY,Materials Science & Engineering
"Literacy Research: Theory, Method, and Practice",SAGE,2381-3377,2381-3377,https://journals.sagepub.com/loi/LRX,Hybrid,CC BY,Education
Literature & History,SAGE,0306-1973,2050-4594,https://journals.sagepub.com/loi/LAH,Hybrid,CC BY,Arts & Humanities
"Literature, Critique, and Empire Today",SAGE,3033-3962,3033-3970,https://journals.sagepub.com/loi/JCL,Hybrid,CC BY,Language & Linguistics
Local Economy,SAGE,0269-0942,1470-9325,https://journals.sagepub.com/loi/LEC,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Lupus,SAGE,0961-2033,1477-0962,https://journals.sagepub.com/loi/LUP,Hybrid,CC BY,Clinical Medicine
Maastricht Journal of European and Comparative Law,SAGE,1023-263X,2399-5548,https://journals.sagepub.com/loi/MAA,Hybrid,CC BY,Political Science & International Relations
Main Group Chemistry,SAGE,1024-1221,1745-1167,https://journals.sagepub.com/loi/MGC,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Management and Business Review,SAGE,2694-104X,2694-1058,https://journals.sagepub.com/loi/MAB,Hybrid,CC BY,Business & Management
Management and Labour Studies,SAGE,0258-042X,2321-0710,https://journals.sagepub.com/loi/MLS,Hybrid,CC BY,Business & Management
Management Communication Quarterly,SAGE,0893-3189,1552-6798,https://journals.sagepub.com/loi/MCQ,Hybrid,CC BY,Business & Management
Management in Education,SAGE,0892-0206,1741-9883,https://journals.sagepub.com/loi/MIE,Hybrid,CC BY,Education
Management Learning,SAGE,1350-5076,1461-7307,https://journals.sagepub.com/loi/MLQ,Hybrid,CC BY,Business & Management
Management Teaching Review,SAGE,2379-2981,2379-2981,https://journals.sagepub.com/loi/MTR,Hybrid,CC BY,Business & Management
Margin: The Journal of Applied Economic Research,SAGE,0025-2921,0973-8029,https://journals.sagepub.com/loi/MAR,Hybrid,CC BY,Economics & Development Studies
Marketing Theory,SAGE,1470-5931,1741-301X,https://journals.sagepub.com/loi/MTQ,Hybrid,CC BY,Marketing & Hospitality
Materials Science and Technology,SAGE,0267-0836,1743-2847,https://journals.sagepub.com/loi/MST,Hybrid,CC BY,
Mathematics and Mechanics of Solids,SAGE,1081-2865,1741-3028,https://journals.sagepub.com/loi/MMS,Hybrid,CC BY,Materials Science & Engineering
Media International Australia,SAGE,1329-878X,2200-467X,https://journals.sagepub.com/loi/MIA,Hybrid,CC BY,Communication & Media Studies
Media Watch,SAGE,0976-0911,2249-8818,https://journals.sagepub.com/loi/MDW,Hybrid,CC BY,
"Media, Culture & Society",SAGE,0163-4437,1460-3675,https://journals.sagepub.com/loi/MCS,Hybrid,CC BY,Communication & Media Studies
"Media, Technology and Governance",SAGE,2977-7984,2977-7992,https://journals.sagepub.com/loi/MAG,Hybrid,CC BY,Communication & Media Studies
"Media, War & Conflict",SAGE,1750-6352,1750-6360,https://journals.sagepub.com/loi/MWC,Hybrid,CC BY,Communication & Media Studies
Medical Care Research and Review,SAGE,1077-5587,1552-6801,https://journals.sagepub.com/loi/MCR,Hybrid,CC BY,Public Health
Medical Decision Making,SAGE,0272-989X,1552-681X,https://journals.sagepub.com/loi/MDM,Hybrid,CC BY,Public Health
Medical Law International,SAGE,0968-5332,2047-9441,https://journals.sagepub.com/loi/MLI,Hybrid,CC BY,Other Health Specialties
"Medicine, Science and the Law",SAGE,0025-8024,2042-1818,https://journals.sagepub.com/loi/MSL,Hybrid,CC BY,
Medico-Legal Journal,SAGE,0025-8172,2042-1834,https://journals.sagepub.com/loi/MLJ,Hybrid,CC BY,
Mediterranean Journal of Nutrition and Metabolism,SAGE,1973-798X,1973-7998,https://journals.sagepub.com/loi/MNM,Hybrid,CC BY,Other Health Specialties
Memory Studies,SAGE,1750-6980,1750-6999,https://journals.sagepub.com/loi/MSS,Hybrid,CCBY,Anthropology & Archaeology
Men and Masculinities,SAGE,1097-184X,1552-6828,https://journals.sagepub.com/loi/JMM,Hybrid,CC BY,Sociology
Metamorphosis,SAGE,0972-6225,2348-9324,https://journals.sagepub.com/loi/MET,Hybrid,CC BY,Business & Management
Migration and Development,SAGE,2163-2324,2163-2332,https://journals.sagepub.com/loi/MAD,Hybrid,CC BY,
Millennial Asia,SAGE,0976-3996,2321-7081,https://journals.sagepub.com/loi/MLA,Hybrid,CC BY,Economics & Development Studies
Millennium,SAGE,0305-8298,1477-9021,https://journals.sagepub.com/loi/MIL,Hybrid,CC BY,Political Science & International Relations
Mineral Processing and Extractive Metallurgy,SAGE,2572-6641,2572-665X,https://journals.sagepub.com/loi/MPE,Hybrid,CC BY,
Mining Technology,SAGE,2572-6668,2572-6676,https://journals.sagepub.com/loi/MTG,Hybrid,CC BY,
Missiology,SAGE,0091-8296,2051-3623,https://journals.sagepub.com/loi/MIS,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Mobile Media & Communication,SAGE,2050-1579,2050-1587,https://journals.sagepub.com/loi/MMC,Hybrid,CC BY,Communication & Media Studies
Model Assisted Statistics and Applications,SAGE,1574-1699,1875-9068,https://journals.sagepub.com/loi/MOD,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Modern China,SAGE,0097-7004,1552-6836,https://journals.sagepub.com/loi/MCX,Hybrid,CC BY,Area & Ethnic Studies
Multiagent and Grid Systems,SAGE,1574-1702,1875-9076,https://journals.sagepub.com/loi/MGS,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Multimodality & Society,SAGE,2634-9795,2634-9809,https://journals.sagepub.com/loi/MAS,Hybrid,CC BY,
Multiple Sclerosis Journal,SAGE,1352-4585,1477-0970,https://journals.sagepub.com/loi/MSJ,Hybrid,CC BY,Neurology
Music Educators Journal,SAGE,0027-4321,1945-0087,https://journals.sagepub.com/loi/MEJ,Hybrid,CC BY,Education
Musicae Scientiae,SAGE,1029-8649,2045-4147,https://journals.sagepub.com/loi/MSX,Hybrid,CC BY,Arts & Humanities
NASN School Nurse,SAGE,1942-602X,1942-6038,https://journals.sagepub.com/loi/NAS,Hybrid,CC BY,Nursing
Netherlands Quarterly of Human Rights,SAGE,0924-0519,2214-7357,https://journals.sagepub.com/loi/NQH,Hybrid,CC BY,Political Science & International Relations
NeuroRehabilitation,SAGE,1053-8135,1878-6448,https://journals.sagepub.com/loi/NRE,Hybrid,CC BY,Clinical Medicine
Neurorehabilitation and Neural Repair,SAGE,1545-9683,1552-6844,https://journals.sagepub.com/loi/NNR,Hybrid,CC BY,Neurology
New Horizons in Adult Education and Human Resource Development,SAGE,1939-4225,1939-4225,https://journals.sagepub.com/loi/NHA,Hybrid,CC BY,
New Journal of European Criminal Law,SAGE,2032-2844,2399-293X,https://journals.sagepub.com/loi/NJE,Hybrid,CC BY,Criminology & Criminal Justice
New Labor Forum,SAGE,1095-7960,1557-2978,https://journals.sagepub.com/loi/NLF,Hybrid,CC BY,Sociology
New Media & Society,SAGE,1461-4448,1461-7315,https://journals.sagepub.com/loi/NMS,Hybrid,CC BY,Communication & Media Studies
New Perspectives,SAGE,2336-825X,2336-8268,https://journals.sagepub.com/loi/NPS,Hybrid,CC BY,
NEW SOLUTIONS: A Journal of Environmental and Occupational Health Policy,SAGE,1048-2911,1541-3772,https://journals.sagepub.com/loi/NEW,Hybrid,CC BY,Public Health
News Research Journal,SAGE,3049-7841,3049-785X,https://journals.sagepub.com/loi/NRJ,Hybrid,CC BY,Communication & Media Studies
NHRD Network Journal,SAGE,2631-4541,2631-455X,https://journals.sagepub.com/loi/NHR,Hybrid,CC BY,Business & Management
Nineteenth Century Theatre and Film,SAGE,1748-3727,2048-2906,https://journals.sagepub.com/loi/NCT,Hybrid,CC BY,Cultural Studies
NIR news,SAGE,0960-3360,1756-2708,https://journals.sagepub.com/loi/NIR,Hybrid,CC BY,Materials Science & Engineering
Noise & Vibration Worldwide,SAGE,0957-4565,2048-4062,https://journals.sagepub.com/loi/NVW,Hybrid,CC BY,Materials Science & Engineering
Nonprofit and Voluntary Sector Quarterly,SAGE,0899-7640,1552-7395,https://journals.sagepub.com/loi/NVS,Hybrid,CC BY,Business & Management
Nordic Journal of Nursing Research,SAGE,2057-1585,2057-1593,https://journals.sagepub.com/loi/NJN,Hybrid,CC BY,Nursing
North American Archaeologist,SAGE,0197-6931,1541-3543,https://journals.sagepub.com/loi/NAA,Hybrid,CCBY,Anthropology & Archaeology
Nursing & Midwifery Research Journal,SAGE,0974-150X,2752-8367,https://journals.sagepub.com/loi/NMR,Hybrid,CC BY,
Nursing Ethics,SAGE,0969-7330,1477-0989,https://journals.sagepub.com/loi/NEJ,Hybrid,CC BY,Nursing
Nursing Science Quarterly,SAGE,0894-3184,1552-7409,https://journals.sagepub.com/loi/NSQ,Hybrid,CCBY,Nursing
Nutrition and Health,SAGE,0260-1060,2047-945X,https://journals.sagepub.com/loi/NAH,Hybrid,CC BY,Other Health Specialties
Obstetric Medicine,SAGE,1753-495X,1753-4968,https://journals.sagepub.com/loi/OBM,Hybrid,CC BY,
OMEGA - Journal of Death and Dying,SAGE,0030-2228,1541-3764,https://journals.sagepub.com/loi/OME,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Organization,SAGE,1350-5084,1461-7323,https://journals.sagepub.com/loi/ORG,Hybrid,CC BY,Business & Management
Organization & Environment,SAGE,1086-0266,1552-7417,https://journals.sagepub.com/loi/OAE,Hybrid,CC BY,Business & Management
Organization Studies,SAGE,0170-8406,1741-3044,https://journals.sagepub.com/loi/OSS,Hybrid,CC BY,Business & Management
Organizational Psychology Review,SAGE,2041-3866,2041-3874,https://journals.sagepub.com/loi/OPR,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Organizational Research Methods,SAGE,1094-4281,1552-7425,https://journals.sagepub.com/loi/ORM,Hybrid,CC BY,Business & Management
OTJR: Occupational Therapy Journal of Research,SAGE,1539-4492,1938-2383,https://journals.sagepub.com/loi/OTJ,Hybrid,CC BY,Other Health Specialties
Outlook on Agriculture,SAGE,0030-7270,2043-6866,https://journals.sagepub.com/loi/OAG,Hybrid,CC BY,Economics & Development Studies
Palliative Medicine,SAGE,0269-2163,1477-030X,https://journals.sagepub.com/loi/PMJ,Hybrid,CC BY,Aging & Gerontology
Paradigm,SAGE,0971-8907,2394-6083,https://journals.sagepub.com/loi/PAR,Hybrid,CC BY,Business & Management
Party Politics,SAGE,1354-0688,1460-3683,https://journals.sagepub.com/loi/PPQ,Hybrid,CC BY,Political Science & International Relations
Pedagogy in Health Promotion,SAGE,2373-3799,2373-3802,https://journals.sagepub.com/loi/PHP,Hybrid,CCBY,Public Health
Pediatric and Developmental Pathology,SAGE,1093-5266,1615-5742,https://journals.sagepub.com/loi/PDP,Hybrid,CC BY,Clinical Medicine
Perception,SAGE,0301-0066,1468-4233,https://journals.sagepub.com/loi/PEC,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Perceptual and Motor Skills,SAGE,0031-5125,1558-688X,https://journals.sagepub.com/loi/PMS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Perfusion,SAGE,0267-6591,1477-111X,https://journals.sagepub.com/loi/PRF,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
Peritoneal Dialysis International,SAGE,0896-8608,1718-4304,https://journals.sagepub.com/loi/PTD,Hybrid,CC BY,
Personality and Social Psychology Bulletin,SAGE,0146-1672,1552-7433,https://journals.sagepub.com/loi/PSP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Personality and Social Psychology Review,SAGE,1088-8683,1532-7957,https://journals.sagepub.com/loi/PSR,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Perspectives in Public Health,SAGE,1757-9139,1757-9147,https://journals.sagepub.com/loi/RSH,Hybrid,CC BY,Public Health
Perspectives on Psychological Science,SAGE,1745-6916,1745-6924,https://journals.sagepub.com/loi/PPS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Phi Delta Kappan,SAGE,0031-7217,1940-6487,https://journals.sagepub.com/loi/PDK,Hybrid,CC BY,Education
Philosophy & Social Criticism,SAGE,0191-4537,1461-734X,https://journals.sagepub.com/loi/PSC,Hybrid,CC BY,Arts & Humanities
Philosophy of the Social Sciences,SAGE,0048-3931,1552-7441,https://journals.sagepub.com/loi/POS,Hybrid,CC BY,Arts & Humanities
Phlebology,SAGE,0268-3555,1758-1125,https://journals.sagepub.com/loi/PHL,Hybrid,CC BY,
Physiotherapy Practice and Research,SAGE,2213-0683,2213-0691,https://journals.sagepub.com/loi/PPR,Hybrid,CC BY,Other Health Specialties
Planning Theory,SAGE,1473-0952,1741-3052,https://journals.sagepub.com/loi/PLT,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Plastic Surgery,SAGE,2292-5503,2292-5511,https://journals.sagepub.com/loi/PSG,Hybrid,CC BY,Clinical Medicine
"Plastics, Rubber and Composites",SAGE,1465-8011,1743-2898,https://journals.sagepub.com/loi/PRC,Hybrid,CC BY,
Police Quarterly,SAGE,1098-6111,1552-745X,https://journals.sagepub.com/loi/PQX,Hybrid,CC BY,Criminology & Criminal Justice
